game_date,player_name,goal_min,penalty,own_goal
1924-10-25,Dixie Dean,,,0
1924-10-25,Stan Sayer,,,0
1924-11-01,Dixie Dean,,,0
1924-11-15,Bert Cartman,,,0
1924-11-19,Harry Littlehales,,,0
1924-11-19,Johnny Campbell,,,0
1924-11-22,Harry Littlehales,,,0
1924-11-22,Tom Stuart,,,0
1924-11-29,Stan Sayer,,,0
1924-12-06,Dixie Dean,,,0
1924-12-06,Jack Brown,,,0
1924-12-06,Harry Littlehales,,,0
1924-12-20,Dixie Dean,,,0
1924-12-20,Stan Sayer,,,0
1924-12-27,Dixie Dean,,,0
1925-01-01,Dixie Dean,,,0
1925-01-17,Harry Littlehales,,,0
1925-01-31,Harry Littlehales,,,0
1925-01-31,Dixie Dean,,,0
1925-01-31,Billy Fogg,,,0
1925-02-07,Dixie Dean,,,0
1925-02-14,Billy Fogg,,,0
1925-02-14,Dixie Dean,,,0
1925-02-28,Dixie Dean,,,0
1925-03-04,Harry Littlehales,,,0
1925-03-07,Dixie Dean,,,0
1925-03-14,Dixie Dean,,,0
1925-03-18,Billy Fogg,,,0
1925-03-18,Fred Halstead,,,0
1925-03-18,Ellis Rimmer,,,0
1925-03-21,Harry Littlehales,,,0
1925-03-21,Tom Stuart,,,0
1925-04-04,Harry Littlehales,,,0
1925-04-10,Bert Cartman,,,0
1925-04-10,Stan Sayer,,,0
1925-04-11,Tom Stuart,,,0
1925-04-13,Jimmy Jackson,,,0
1925-04-14,Jack Brown,,,0
1925-04-14,Tom Stuart,,,0
1925-04-18,Stan Sayer,,,0
1925-04-18,Billy Fogg,,,0
1925-04-22,Billy Fogg,,,0
1925-08-29,Billy Roberts,,,0
1925-08-29,Fred Marquis,,,0
1925-09-05,Billy Chalmers,,,0
1925-09-05,Vince Matthews,,,0
1925-09-12,Fred Marquis,,,0
1925-09-12,Bob White,,,0
1925-09-12,Vince Matthews,,,0
1925-09-19,Fred Marquis,,,0
1925-09-26,Fred Marquis,,,0
1925-09-26,Bob White,,,0
1925-10-17,Tom Stuart,,,0
1925-10-17,Fred Marquis,,,0
1925-10-17,Bob White,,,0
1925-10-17,Norman Proctor,,,0
1925-10-31,Fred Marquis,,,0
1925-10-31,Bob White,,,0
1925-11-07,Billy Chalmers,,,0
1925-11-14,Billy Chalmers,,,0
1925-11-14,Bob White,,,0
1925-11-21,Bob White,,,0
1925-11-21,Fred Marquis,,,0
1925-12-02,Norman Proctor,,,0
1925-12-05,Norman Proctor,,,0
1925-12-25,Billy Chalmers,,,0
1925-12-25,Norman Proctor,,,0
1925-12-25,Fred Marquis,,,0
1925-12-26,Fred Marquis,,,0
1926-01-01,Fred Marquis,,,0
1926-01-01,Sammy Beswick,,,0
1926-01-01,Norman Proctor,,,0
