game_date,player_name,yellow_card
2021-01-19,Scott Davies,1
2021-01-16,Jay Spearing,1
2021-01-16,James Vaughan,1
2021-01-23,Peter Clarke,1
2021-01-23,Emmanuel Monthe,1
2021-01-26,Calum MacDonald,1
2021-01-26,Paul Lewis,1
2021-01-26,James Vaughan,1
2021-01-30,Jay Spearing,1
2021-02-06,James Vaughan,1
2021-03-17,Liam Ridehalgh,1
2021-03-17,Corey Blackett-Taylor,1
2021-02-20,Peter Clarke,1
2021-02-20,Paul Lewis,1
2021-02-20,Kaiyne Woolery,1
2021-02-23,Paul Lewis,1
2021-02-27,Liam Feeney,1
2021-02-27,James Vaughan,1
2021-03-02,Jay Spearing,1
2021-03-06,Peter Clarke,1
2021-04-13,Jay Spearing,1
2021-04-13,Paul Lewis,1
2021-03-27,Otis Khan,1
2021-03-27,Jay Spearing,1
2021-04-02,Lee O'Connor,1
2021-04-05,Peter Clarke,1
2021-04-05,Paul Lewis,1
2021-04-10,Calum MacDonald,1
2021-04-17,Otis Khan,1
2021-04-17,Kaiyne Woolery,1
2021-04-20,Kaiyne Woolery,1
2021-04-20,Paul Lewis,1
2021-04-20,Danny Lloyd,1
2021-04-24,Peter Clarke,1
2021-05-08,Otis Khan,1
2020-12-08,Sid Nelson,1
2021-01-13,Otis Khan,1
2021-02-16,Calum MacDonald,1
2021-05-20,Lee O'Connor,1
2021-05-20,Jay Spearing,1
2021-05-20,James Vaughan,1
2021-05-23,Emmanuel Monthe,1
2021-05-23,James Vaughan,1
2021-08-07,Joe Murphy,1
2021-08-07,Tom Davies,1
2021-08-07,Callum McManaman,1
2021-08-14,Jay Spearing,1
2021-08-14,Emmanuel Dieseruvwe,1
2021-08-17,Joe Murphy,1
2021-08-17,Tom Davies,1
2021-08-17,Nathaniel Knight-Percival,1
2021-08-21,Peter Clarke,1
2021-08-28,Nathaniel Knight-Percival,1
2021-09-04,Peter Clarke,1
2021-09-11,Tom Davies,1
2021-09-11,Ryan Watson,1
2021-09-11,Callum McManaman,1
2021-09-18,Peter Clarke,1
2021-09-18,Josh Hawkes,1
2021-09-25,Calum MacDonald,1
2021-09-25,Sam Foley,1
2021-09-25,Josh Hawkes,1
2021-10-02,Josh Dacres-Cogley,1
2021-10-02,Chris Merrie,1
2021-10-16,Jay Spearing,1
2021-10-16,Josh Hawkes,1
2021-10-19,Josh Dacres-Cogley,1
2021-10-23,Jay Spearing,1
2021-10-30,Jay Spearing,1
2021-11-13,Nathaniel Knight-Percival,1
2021-11-13,Jay Spearing,1
2021-11-20,Tom Davies,1
2021-11-20,Nathaniel Knight-Percival,1
2021-11-20,Calum MacDonald,1
2021-12-11,Charlie Jolley,1
2021-12-18,Tom Davies,1
2021-12-26,Peter Clarke,1
2021-12-26,Jay Spearing,1
2021-12-26,Elliott Nevitt,1
2022-02-15,Calum MacDonald,1
2022-02-15,Sam Foley,1
2022-01-11,Tom Davies,1
2022-01-08,Lee O'Connor,1
2022-01-15,Ross Doohan,1
2022-01-15,Charlie Jolley,1
2022-01-22,Jay Spearing,1
2022-01-22,Kane Hemmings,1
2022-01-29,Peter Clarke,1
2022-02-05,Josh Dacres-Cogley,1
2022-02-08,Tom Davies,1
2022-02-12,Lewis Warrington,1
2022-02-19,Kieron Morris,1
2022-02-19,Kane Hemmings,1
2022-02-26,Calum MacDonald,1
2022-02-26,Lewis Warrington,1
2022-03-05,Callum McManaman,1
2022-03-05,Lee O'Connor,1
2022-03-05,Joshua McPake,1
2022-03-15,Joe Murphy,1
2022-03-15,Peter Clarke,1
2022-03-15,Joshua McPake,1
2022-03-19,Elliott Nevitt,1
2022-03-26,Tom Davies,1
2022-03-26,Peter Clarke,1
2022-03-26,Sam Foley,1
2022-04-02,Joe Murphy,1
2022-04-02,Josh Dacres-Cogley,1
2022-04-02,Tom Davies,1
2022-04-02,Peter Clarke,1
2022-04-02,Kane Hemmings,1
2022-04-09,Chris Merrie,1
2022-04-09,Kane Hemmings,1
2022-04-15,Peter Clarke,1
2022-04-15,Sam Foley,1
2022-04-18,Tom Davies,1
2022-04-18,Elliott Nevitt,1
2022-04-30,Lee O'Connor,1
2022-04-30,Lewis Warrington,1
2022-05-07,Tom Davies,1
2022-05-07,Lee O'Connor,1
2022-05-07,Lewis Warrington,1
2022-05-07,Kane Hemmings,1
2021-08-10,Sam Foley,1
2021-09-14,Chris Merrie,1
2021-09-14,Sam Foley,1
2021-10-05,Calum MacDonald,1
2021-10-05,Nathaniel Knight-Percival,1
2021-10-05,Chris Merrie,1
2021-11-06,Peter Clarke,1
2021-11-06,Elliott Nevitt,1
2021-12-04,Nathaniel Knight-Percival,1
2021-12-04,Josh Dacres-Cogley,1
2021-12-04,Jay Spearing,1
2022-07-30,Reece McAlear,1
2022-08-06,Kane Hemmings,1
2022-08-16,Jordan Turnbull,1
2022-08-16,Kyle Jameson,1
2022-08-27,Neill Byrne,1
2022-09-03,Neill Byrne,1
2022-11-01,Lee O'Connor,1
2022-09-13,Neill Byrne,1
2022-09-13,Reece McAlear,1
2022-09-13,Kane Hemmings,1
2022-09-17,Jordan Turnbull,1
2022-09-17,Kane Hemmings,1
2022-09-24,Reece McAlear,1
2022-09-24,Kane Hemmings,1
2022-10-01,Chris Merrie,1
2022-10-08,Chris Merrie,1
2022-10-08,Josh Hawkes,1
2022-10-14,Chris Merrie,1
2022-10-22,Jordan Turnbull,1
2022-10-25,Dynel Simeu,1
2022-11-12,Dynel Simeu,1
2022-11-12,Jordan Turnbull,1
2022-11-12,Elliott Nevitt,1
2022-11-19,Tom Davies,1
2022-11-19,Josh Hawkes,1
2022-12-03,Ross Doohan,1
