game_date,shirt_no,player_name,on_for,off_for
1971-10-30,9.0,Kenny Beamish,,12.0
1971-10-30,12.0,Malcolm Moore,9.0,
1971-11-13,8.0,Ronnie Moore,,12.0
1971-11-13,12.0,Malcolm Moore,8.0,
1971-11-26,12.0,Aiden Maher,10.0,
1971-11-26,10.0,Kenny Beamish,,12.0
1971-12-04,7.0,Alex Russell,,12.0
1971-12-04,12.0,Kit Fagan,7.0,
1971-12-11,4.0,Dave Moorcroft,,12.0
1971-12-11,12.0,Kit Fagan,4.0,
1971-12-27,6.0,Eric Brodie,,12.0
1971-12-27,12.0,Kit Fagan,6.0,
1972-01-08,10.0,Malcolm Moore,,12.0
1972-01-08,12.0,John Coyne,10.0,
1972-02-26,7.0,Alex Russell,,12.0
1972-02-26,12.0,Eric Brodie,7.0,
1972-03-11,10.0,Trevor Storton,,12.0
1972-03-11,12.0,Aiden Maher,10.0,
1972-03-17,12.0,John Coyne,9.0,
1972-03-17,9.0,Malcolm Moore,,12.0
1972-03-27,10.0,John Manning,,12.0
1972-03-27,12.0,Aiden Maher,10.0,
1972-04-03,8.0,Alan Duffy,,12.0
1972-04-03,12.0,Kit Fagan,8.0,
1972-04-07,11.0,Paul Crossley,,12.0
1972-04-07,12.0,Aiden Maher,11.0,
1972-04-15,8.0,Kit Fagan,,12.0
1972-04-15,12.0,Alex Russell,8.0,
1972-04-18,8.0,Alan Duffy,,12.0
1972-04-18,12.0,Aiden Maher,8.0,
1972-05-08,4.0,Dave Moorcroft,,12.0
1972-05-08,12.0,Fred Molyneux,4.0,
1972-05-10,12.0,John Coyne,10.0,
1972-05-10,10.0,Ronnie Moore,,12.0
1972-08-16,7.0,Malcolm Moore,,12.0
1972-08-16,12.0,Kit Fagan,7.0,
1972-09-09,8.0,Alan Duffy,,12.0
1972-09-09,12.0,Tommy Veitch,8.0,
1972-09-23,10.0,Tommy Young,,12.0
1972-09-23,12.0,Eddie Flood,10.0,
1972-09-25,2.0,Eddie Flood,,12.0
1972-09-25,12.0,Frank D'Arcy,2.0,
1972-10-09,7.0,Alex Russell,,12.0
1972-10-09,12.0,Les Parry,7.0,
1972-10-21,4.0,Fred Molyneux,,12.0
1972-10-21,12.0,Kit Fagan,4.0,
1972-10-23,8.0,Alan Duffy,,12.0
1972-10-23,12.0,Malcolm Moore,8.0,
1972-11-10,6.0,Ray Mathias,,12.0
1972-11-10,12.0,Alan Duffy,6.0,
1972-12-02,12.0,Syd Farrimond,6.0,
1972-12-02,6.0,Tommy Veitch,,12.0
1973-01-20,6.0,Tommy Veitch,,12.0
1973-01-20,12.0,Alan Duffy,6.0,
1973-02-02,8.0,Frank D'Arcy,,12.0
1973-02-02,12.0,Malcolm Moore,8.0,
1973-02-10,8.0,Malcolm Moore,,12.0
1973-02-10,12.0,Alan Duffy,8.0,
1973-02-24,3.0,Eddie Flood,,12.0
1973-02-24,12.0,Tommy Veitch,3.0,
1973-03-02,11.0,Roy Sinclair,,12.0
1973-03-02,12.0,Paul Crossley,11.0,
1973-03-07,11.0,Roy Sinclair,,12.0
1973-03-07,12.0,Paul Crossley,11.0,
1973-03-10,12.0,Paul Crossley,10.0,
1973-03-10,10.0,Alan Duffy,,12.0
1973-03-19,9.0,Eddie Loyden,,12.0
1973-03-19,12.0,Malcolm Moore,9.0,
1973-04-06,7.0,Alan Duffy,,12.0
1973-04-06,12.0,John Seasman,7.0,
1973-04-21,9.0,Eddie Loyden,,12.0
1973-04-21,12.0,Malcolm Moore,9.0,
1973-04-24,10.0,Tommy Young,,12.0
1973-04-24,12.0,Alan Duffy,10.0,
1973-04-28,2.0,Ray Pritchard,,12.0
1973-04-28,12.0,Syd Farrimond,2.0,
1973-08-25,11.0,Paul Crossley,,12.0
1973-08-25,12.0,Ray Mathias,11.0,
1973-09-08,12.0,Ray Pritchard,8.0,
1973-09-08,8.0,Tommy Veitch,,12.0
1973-10-02,12.0,Paul Crossley,7.0,
1973-10-02,7.0,Bobby Tynan,,12.0
1973-10-06,9.0,Eddie Loyden,,12.0
1973-10-06,12.0,Russell Allen,9.0,
1973-10-12,7.0,Bobby Tynan,,12.0
1973-10-12,12.0,Paul Crossley,7.0,
1973-10-19,9.0,Russell Allen,,12.0
1973-10-19,12.0,Paul Crossley,9.0,
1973-10-27,10.0,Tommy Young,,12.0
1973-10-27,12.0,Ron Yeats,10.0,
1973-10-31,11.0,Russell Allen,,12.0
1973-10-31,12.0,Tommy Young,11.0,
1973-11-24,9.0,Russell Allen,,12.0
1973-11-24,12.0,Kit Fagan,9.0,
1973-12-08,12.0,Russell Allen,9.0,
1973-12-08,9.0,Bobby Tynan,,12.0
1973-12-15,8.0,Mark Palios,,12.0
1973-12-15,12.0,Eddie Loyden,8.0,
1973-12-26,10.0,Tommy Young,,12.0
1973-12-26,12.0,Russell Allen,10.0,
1973-12-29,9.0,Eddie Loyden,,12.0
1973-12-29,12.0,Russell Allen,9.0,
1974-01-12,7.0,Paul Crossley,,12.0
1974-01-12,12.0,Bobby Tynan,7.0,
1974-02-02,11.0,Paul Crossley,,12.0
1974-02-02,12.0,Steve Coppell,11.0,
1974-02-10,11.0,Steve Peplow,,12.0
1974-02-10,12.0,Russell Allen,11.0,
1974-02-17,9.0,Eddie Loyden,,12.0
1974-02-17,12.0,Steve Coppell,9.0,
1974-02-24,12.0,Paul Crossley,7.0,
1974-02-24,7.0,Steve Peplow,,12.0
1974-03-02,11.0,Paul Crossley,,12.0
1974-03-02,12.0,Russell Allen,11.0,
1974-03-23,9.0,Paul Crossley,,12.0
1974-03-23,12.0,Steve Coppell,9.0,
1974-03-30,8.0,Bobby Tynan,,12.0
1974-03-30,12.0,Mark Palios,8.0,
1974-04-13,11.0,Mark Palios,,12.0
1974-04-13,12.0,John Seasman,11.0,
