game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2016-11-26,Andy Mangan,1,12,0,0,0
2016-11-26,Andy Mangan,2,46,0,0,0
2016-11-29,Ben Tollitt,1,3,0,0,0
2016-12-03,James Norwood,1,90,3,0,0
2017-01-01,Steve McNulty,1,10,0,0,0
2017-01-01,Ritchie Sutton,1,36,0,0,0
2017-03-03,Jay Harris,1,54,0,0,0
2017-03-03,James Norwood,1,81,0,0,0
2017-03-03,Andy Cook,1,89,0,0,0
2017-03-07,Andy Cook,1,33,0,0,0
2017-04-01,Oliver Marx,1,10,0,0,1
2017-04-04,Michael Ihiekwe,1,29,0,0,0
2017-04-04,Craig Eastmond,1,60,0,0,1
2017-04-04,Michael Ihiekwe,2,90,0,0,0
2017-04-08,Cole Stockton,1,20,0,0,0
2017-04-08,Cole Stockton,2,25,0,0,0
2017-04-08,Cole Stockton,3,45,0,0,0
2017-04-08,Connor Jennings,1,48,0,0,0
2017-04-08,Connor Jennings,2,50,0,0,0
2017-04-08,Andy Cook,1,68,0,0,0
2017-04-08,Liam Ridehalgh,1,84,0,0,0
2017-04-08,Connor Jennings,3,90,0,0,0
2017-04-08,Aaron Collins,1,90,2,0,0
2017-04-14,Cole Stockton,1,12,0,0,0
2017-04-14,Connor Jennings,1,23,0,0,0
2017-04-17,James Norwood,1,49,0,0,0
2017-04-17,Andy Cook,1,58,0,0,0
2017-04-22,James Norwood,1,25,0,0,0
2017-04-22,James Norwood,2,46,0,0,0
2017-04-22,Connor Jennings,1,50,0,0,0
2017-04-22,Connor Jennings,2,71,0,0,0
2017-04-29,Sam Ilesanmi,1,56,0,0,0
2017-05-03,Cole Stockton,1,3,0,0,0
2017-05-03,James Norwood,1,48,0,0,0
2017-05-03,Cole Stockton,2,75,0,0,0
2017-05-06,Cole Stockton,1,31,0,0,0
2017-05-06,James Norwood,1,90,4,0,0
2017-05-14,Connor Jennings,1,22,0,0,0
2017-08-08,Andy Cook,1,18,0,0,0
2017-08-08,Oliver Norburn,1,31,0,0,0
2017-08-08,Jay McEveley,1,60,0,0,0
2017-08-26,Andy Cook,1,82,0,0,0
2017-08-26,Andy Mangan,1,90,0,0,0
