type,timeElapsed,addedTime,penalty,ownGoal,displayTime,first,full,abbreviation,last,score,halfTime,fullTime,extraTime,shootout,aggregate,aggregateGoalsAway,team,team_name,date,home_goal,away_goal,home_score,away_score,trfc_score,opp_score
goal,54,0,False,False,54',Mohamed,Mohamed Eisa,Eisa,Eisa,2,0,2,,,,,awayTeam,Peterborough United,2019-09-17T19:45:00+01:00,0,1,0,1,1,1
goal,56,0,False,False,56',Ivan,Ivan Toney,Toney,Toney,2,0,2,,,,,awayTeam,Peterborough United,2019-09-17T19:45:00+01:00,0,1,0,2,2,2
goal,65,0,False,False,65',Liam,Liam Ridehalgh,Ridehalgh,Ridehalgh,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-17T19:45:00+01:00,1,0,1,2,1,2
goal,70,0,False,False,70',Oliver,Oliver Banks,Banks,Banks,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-17T19:45:00+01:00,1,0,2,2,2,2
goal,66,0,True,False,66',Lucas,Lucas Akins,Akins,Akins,1,0,1,,,,,awayTeam,Burton Albion,2019-09-21T15:00:00+01:00,0,1,0,1,1,1
goal,90,2,False,False,90'+2,Oliver,Oliver Banks,Banks,Banks,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-21T15:00:00+01:00,1,0,1,1,1,1
goal,90,5,False,False,90'+5,Stefan,Stefan Payne,Payne,Payne,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-21T15:00:00+01:00,1,0,2,1,2,1
goal,35,0,False,False,35',Luke,Luke Garbutt,Garbutt,Garbutt,4,1,4,,,,,homeTeam,Ipswich Town,2019-09-28T15:00:00+01:00,1,0,1,0,0,1
goal,39,0,False,False,39',Stefan,Stefan Payne,Payne,Payne,1,1,1,,,,,awayTeam,Tranmere Rovers,2019-09-28T15:00:00+01:00,0,1,1,1,1,1
goal,48,0,False,False,48',Kayden,Kayden Jackson,Jackson,Jackson,4,1,4,,,,,homeTeam,Ipswich Town,2019-09-28T15:00:00+01:00,1,0,2,1,1,2
goal,62,0,False,False,62',Jon,Jon Nolan,Nolan,Nolan,4,1,4,,,,,homeTeam,Ipswich Town,2019-09-28T15:00:00+01:00,1,0,3,1,1,3
goal,70,0,False,False,70',Kane,Kane Vincent-Young,Vincent-Young,Vincent-Young,4,1,4,,,,,homeTeam,Ipswich Town,2019-09-28T15:00:00+01:00,1,0,4,1,1,4
goal,20,0,False,False,20',Aaron,Aaron Pierre,Pierre,Pierre,1,1,1,,,,,awayTeam,Shrewsbury Town,2019-10-05T15:00:00+01:00,0,1,0,1,1,1
goal,19,0,False,False,19',Rushian,Rushian Hepburn-Murphy,Hepburn-Murphy,Hepburn-Murphy,3,1,3,,,,,awayTeam,Tranmere Rovers,2019-11-02T15:00:00+00:00,0,1,0,1,1,1
goal,42,0,False,False,42',Ben,Ben Reeves,Reeves,Reeves,1,1,1,,,,,homeTeam,Milton Keynes Dons,2019-11-02T15:00:00+00:00,1,0,1,1,1,1
goal,53,0,False,False,53',Rushian,Rushian Hepburn-Murphy,Hepburn-Murphy,Hepburn-Murphy,3,1,3,,,,,awayTeam,Tranmere Rovers,2019-11-02T15:00:00+00:00,0,1,1,2,2,2
goal,69,0,False,False,69',Rushian,Rushian Hepburn-Murphy,Hepburn-Murphy,Hepburn-Murphy,3,1,3,,,,,awayTeam,Tranmere Rovers,2019-11-02T15:00:00+00:00,0,1,1,3,3,3
goal,62,0,False,False,62',Corey,Corey Taylor,Blackett-Taylor,Blackett-Taylor,5,0,5,,,,,homeTeam,Tranmere Rovers,2019-12-01T15:00:00+00:00,1,0,1,0,1,0
goal,64,0,False,False,64',Morgan,Morgan Ferrier,Ferrier,Ferrier,5,0,5,,,,,homeTeam,Tranmere Rovers,2019-12-01T15:00:00+00:00,1,0,2,0,2,0
goal,71,0,False,False,71',Morgan,Morgan Ferrier,Ferrier,Ferrier,5,0,5,,,,,homeTeam,Tranmere Rovers,2019-12-01T15:00:00+00:00,1,0,3,0,3,0
goal,75,0,False,False,75',Morgan,Morgan Ferrier,Ferrier,Ferrier,5,0,5,,,,,homeTeam,Tranmere Rovers,2019-12-01T15:00:00+00:00,1,0,4,0,4,0
goal,85,0,False,False,85',Corey,Corey Taylor,Blackett-Taylor,Blackett-Taylor,5,0,5,,,,,homeTeam,Tranmere Rovers,2019-12-01T15:00:00+00:00,1,0,5,0,5,0
goal,90,1,False,False,90'+1,Ryan,Ryan Peake,Peake,Peake,1,0,1,,,,,awayTeam,Chichester City,2019-12-01T15:00:00+00:00,0,1,5,1,1,1
goal,3,0,False,False,3',Matt,Matt Godden,Godden,Godden,4,2,4,,,,,awayTeam,Coventry City,2020-01-01T15:00:00+00:00,0,1,0,1,1,1
goal,17,0,False,False,17',Jordan,Jordan Shipley,Shipley,Shipley,4,2,4,,,,,awayTeam,Coventry City,2020-01-01T15:00:00+00:00,0,1,0,2,2,2
goal,34,0,False,False,34',Connor,Connor Jennings,Jennings,Jennings,1,1,1,,,,,homeTeam,Tranmere Rovers,2020-01-01T15:00:00+00:00,1,0,1,2,1,2
goal,67,0,False,False,67',Matt,Matt Godden,Godden,Godden,4,2,4,,,,,awayTeam,Coventry City,2020-01-01T15:00:00+00:00,0,1,1,3,3,3
goal,90,2,True,False,90'+2,Matt,Matt Godden,Godden,Godden,4,2,4,,,,,awayTeam,Coventry City,2020-01-01T15:00:00+00:00,0,1,1,4,4,4
goal,2,0,False,False,2',Dennis,Dennis Politic,Politic,Politic,2,1,2,,,,,homeTeam,Bolton Wanderers,2020-02-01T15:00:00+00:00,1,0,1,0,0,1
