game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2016-09-17,Dan Fitchett,1,47,0,0,0
2016-09-24,Fabio Saraiva,1,68,0,0,0
2016-10-04,Sam Jones,1,51,0,0,0
2016-11-12,Tom Shaw,1,50,0,0,0
2016-11-12,Ryan Astles,1,90,0,0,0
2016-11-22,Christian Doidge,1,3,0,0,0
2016-11-22,Liam Noble,1,29,0,0,0
2016-11-26,Dan Sparkes,1,65,0,0,0
2017-01-01,Paul Lewis,1,12,0,0,0
2017-01-01,Paul Lewis,2,50,0,0,0
2017-01-01,Danny M. Rowe,1,71,0,0,0
2017-01-01,Paul Lewis,3,82,0,1,0
2017-03-03,James Alabi,1,5,0,1,0
2017-03-03,Ryan Astles,1,68,0,0,0
2017-03-07,Inih Effiong,1,63,0,0,0
2017-03-07,Jordan Williams,1,71,0,0,0
2017-04-04,Jack Jebb,1,77,0,0,0
2017-04-04,Pape Gueye,1,81,0,0,0
2017-04-11,Kaiyne Woolery,1,85,0,0,0
2017-04-14,Matt McClure,1,3,0,0,0
2017-04-14,Bernard Mensah,1,40,0,0,0
2017-04-17,Derek Asamoah,1,33,0,0,0
2017-04-22,Spencer Myers,1,61,0,0,0
2017-05-06,Bernard Mensah,1,43,0,0,0
2017-05-06,Jeff Hughes,1,50,0,0,1
2017-05-14,Kaiyne Woolery,1,12,0,0,0
2017-05-14,Christian Doidge,1,41,0,0,0
2017-05-14,Kaiyne Woolery,2,44,0,0,0
2017-08-08,Charlie Carter,1,43,0,0,0
2017-08-12,Craig Dundas,1,32,0,0,0
2017-08-19,Ben Williamson,1,64,0,0,0
2017-08-19,Craig McAllister,1,79,0,0,0
2017-08-26,Bruno Andrade,1,53,0,1,0
2017-08-26,Angelo Balanta,1,68,0,0,0
2017-09-02,Ryan Bird,1,79,0,0,0
2017-09-12,Harry Pritchard,1,88,0,0,0
2017-09-23,Chris Holroyd,1,58,0,0,0
2017-10-04,Matt Harrold,1,22,0,0,0
2017-11-04,Jack Marriott,1,52,0,0,0
2018-01-01,Danny L. Rowe,1,21,0,0,0
2018-01-01,Jack Muldoon,1,28,0,0,0
2018-01-01,Zaine Francis-Angol,1,36,0,0,0
2018-01-01,Jordan Tunnicliffe,1,55,0,0,0
2018-01-01,Serhat Tasdemir,1,90,0,0,0
2018-01-06,Byron Harrison,1,5,0,1,0
2018-01-20,Sam Barratt,1,55,0,0,0
2018-01-20,Remy Clerima,1,84,0,0,0
2018-01-27,Scott Quigley,1,12,0,0,0
2018-01-27,Chris Holroyd,1,16,0,1,0
2018-02-10,Scott Davies,1,52,0,0,1
2018-02-20,Danny Whitaker,1,45,1,0,0
2018-02-20,Elliott Durrell,1,55,0,0,0
2018-02-20,Danny Whitaker,2,62,0,1,0
2018-02-20,Elliott Durrell,2,66,0,0,0
2018-02-24,Alex Finney,1,27,0,0,0
2018-02-24,Ross Lafayette,1,41,0,1,0
2018-03-17,Angelo Balanta,1,45,0,0,0
2018-03-17,Bruno Andrade,1,79,0,0,0
2018-03-24,Chris Zebroski,1,88,0,0,0
2018-04-10,Wes York,1,39,0,0,0
2018-04-10,Scott Barrow,1,43,0,0,0
2018-04-24,Jamey Osborne,1,31,0,0,0
2018-04-24,Alex Reid,1,64,0,0,0
2018-04-28,Liam Donnelly,1,45,2,1,0
2018-04-28,Rhys Oates,1,74,0,0,0
2018-05-05,Luke Coulson,1,16,0,0,0
2018-05-05,Myles Weston,1,51,0,0,0
2018-08-04,Jimmy Ball,1,20,0,0,0
2018-08-04,Joel Byrom,1,27,0,0,0
2018-09-01,Junior Morias,1,61,0,0,0
2018-10-06,Rhys Oates,1,13,0,0,0
