event_id,game_date
EFBO864514,2017-04-01
EFBO864514,2017-04-01
EFBO864358,2017-04-04
EFBO864527,2017-04-08
EFBO864441,2017-04-11
EFBO864537,2017-04-14
EFBO864546,2017-04-17
EFBO864561,2017-04-22
EFBO864572,2017-04-29
EFBO914293,2017-05-03
EFBO914295,2017-05-06
EFBO914504,2017-05-14
EFBO931203,2017-08-05
EFBO931216,2017-08-08
EFBO931228,2017-08-12
EFBO931232,2017-08-15
EFBO931245,2017-08-19
EFBO931262,2017-08-26
EFBO931276,2017-08-28
EFBO931288,2017-09-02
EFBO931300,2017-09-09
EFBO931311,2017-09-12
EFBO931317,2017-09-16
EFBO931336,2017-09-23
EFBO931337,2017-09-30
EFBO931355,2017-10-04
EFBO931369,2017-10-07
EFBO958531,2017-10-14
EFBO931373,2017-10-21
EFBO931396,2017-10-24
EFBO931405,2017-10-28
EFBO958964,2017-11-04
EFBO931415,2017-11-11
EFBO959938,2017-11-15
EFBO931424,2017-11-18
EFBO931439,2017-11-21
EFBO931451,2017-11-25
EFBO931480,2017-12-09
EFBO963374,2017-12-18
EFBO931490,2017-12-23
EFBO931499,2017-12-26
EFBO931516,2017-12-30
EFBO931521,2018-01-01
EFBO931521,2018-01-01
EFBO931533,2018-01-06
EFBO931466,2018-01-13
EFBO931552,2018-01-20
EFBO931559,2018-01-27
EFBO931571,2018-02-03
EFBO931583,2018-02-10
EFBO931595,2018-02-17
EFBO931607,2018-02-20
EFBO931620,2018-02-24
EFBO931638,2018-03-10
EFBO931649,2018-03-17
EFBO931672,2018-03-24
EFBO931699,2018-04-07
EFBO931631,2018-04-10
EFBO931719,2018-04-14
EFBO931676,2018-04-17
EFBO931728,2018-04-21
EFBO931694,2018-04-24
EFBO931743,2018-04-28
EFBO983036,2018-05-05
EFBO983127,2018-05-12
EFBO985138,2018-07-10
EFBO992074,2018-08-04
EFBO992086,2018-08-11
EFBO988715,2018-08-14
EFBO992099,2018-08-18
EFBO992110,2018-08-21
EFBO992122,2018-08-25
EFBO992130,2018-09-01
EFBO992130,2018-09-01
EFBO1014828,2018-09-04
EFBO992146,2018-09-08
EFBO992148,2018-09-15
EFBO992170,2018-09-22
EFBO992179,2018-09-29
EFBO992195,2018-10-02
EFBO992203,2018-10-06
EFBO1014831,2018-10-09
EFBO992219,2018-10-12
EFBO992231,2018-10-20
EFBO992234,2018-10-23
