game_date,player_name,card_min,card_inj_time
2015-08-31,Martin Riley,78,0
2015-09-05,Michael Ihiekwe,71,0
2015-09-05,Andy Mangan,79,0
2015-09-12,Adam Dawson,39,0
2015-09-12,Michael Ihiekwe,40,0
2015-09-15,Jay Harris,65,0
2015-09-15,Steven Jennings,74,0
2015-09-18,Nathan Blissett,82,0
2015-09-22,Steven Jennings,89,0
2015-09-26,Adam Mekki,75,0
2015-09-26,Steven Jennings,84,0
2015-10-06,Matt Hill,62,0
2015-10-10,Lois Maynard,15,0
2015-10-10,James Norwood,44,0
2015-10-13,Jay Harris,56,0
2015-10-13,James Norwood,81,0
2015-10-13,Johnny Margetts,82,0
2015-10-17,Jay Harris,35,0
2015-10-17,Lois Maynard,48,0
2015-10-31,Steve McNulty,58,0
2015-10-31,Matt Hill,72,0
2015-11-14,Martin Riley,66,0
2015-11-14,Steven Jennings,85,0
2015-11-14,James Norwood,90,4
2015-11-21,Liam Hogan,39,0
2015-11-24,Matt Hill,26,0
2015-11-24,Jay Harris,34,0
2015-11-28,Steven Jennings,20,0
2015-12-05,Steve McNulty,56,0
2015-12-05,Andy Mangan,60,0
2015-12-19,Jay Harris,58,0
2015-12-19,Steven Jennings,77,0
2015-12-26,Steven Jennings,32,0
2015-12-26,Scott Davies,39,0
2015-12-26,James Norwood,44,0
2015-12-26,Ben Tomlinson,73,0
2015-12-26,Lois Maynard,84,0
2015-12-28,James Norwood,81,0
2016-01-09,Jeff Hughes,55,0
2016-01-23,Lois Maynard,10,0
2016-01-23,Jeff Hughes,21,0
2016-01-23,Jay Harris,83,0
2016-01-23,James Norwood,90,3
2016-01-30,Jay Harris,75,0
2016-02-06,James Norwood,47,0
2016-02-06,Steven Jennings,49,0
2016-02-13,Jay Harris,70,0
2016-02-13,Steve McNulty,90,7
2016-02-20,Jay Harris,90,5
2016-02-28,Michael Higdon,51,0
2016-02-28,Liam Ridehalgh,62,0
2016-02-28,James Norwood,90,3
2016-03-05,Lee Vaughan,42,0
2016-03-08,Adam Mekki,90,0
2016-03-12,Lee Vaughan,32,0
2016-03-12,Jay Harris,80,0
2016-03-19,Jay Harris,25,0
2016-03-19,Lee Vaughan,89,0
2016-03-25,Michael Ihiekwe,90,2
